data	cotacao
23-08-2019	1.114
22-08-2019	1.108
21-08-2019	1.109
20-08-2019	1.110
19-08-2019	1.108
16-08-2019	1.109
15-08-2019	1.111
14-08-2019	1.114
13-08-2019	1.117
12-08-2019	1.121
09-08-2019	1.120
08-08-2019	1.118
07-08-2019	1.120
06-08-2019	1.120
05-08-2019	1.120
02-08-2019	1.111
01-08-2019	1.109
31-07-2019	1.108
30-07-2019	1.116
29-07-2019	1.114
26-07-2019	1.113
25-07-2019	1.115
24-07-2019	1.114
23-07-2019	1.115
22-07-2019	1.121
19-07-2019	1.122
18-07-2019	1.128
17-07-2019	1.122
16-07-2019	1.121
15-07-2019	1.126
12-07-2019	1.127
11-07-2019	1.125
10-07-2019	1.125
09-07-2019	1.121
08-07-2019	1.121
05-07-2019	1.123
04-07-2019	1.129
03-07-2019	1.128
02-07-2019	1.129
01-07-2019	1.129
28-06-2019	1.137
27-06-2019	1.137
26-06-2019	1.137
25-06-2019	1.137
24-06-2019	1.140
21-06-2019	1.137
20-06-2019	1.129
19-06-2019	1.123
18-06-2019	1.119
17-06-2019	1.122
14-06-2019	1.121
13-06-2019	1.128
12-06-2019	1.129
11-06-2019	1.133
10-06-2019	1.132
07-06-2019	1.133
06-06-2019	1.128
05-06-2019	1.122
04-06-2019	1.125
03-06-2019	1.124
31-05-2019	1.117
30-05-2019	1.113
29-05-2019	1.113
28-05-2019	1.116
27-05-2019	1.120
24-05-2019	1.120
23-05-2019	1.118
22-05-2019	1.115
21-05-2019	1.116
20-05-2019	1.117
17-05-2019	1.116
16-05-2019	1.117
15-05-2019	1.120
14-05-2019	1.120
13-05-2019	1.122
10-05-2019	1.124
09-05-2019	1.122
08-05-2019	1.119
07-05-2019	1.119
06-05-2019	1.120
03-05-2019	1.120
02-05-2019	1.118
01-05-2019	1.120
30-04-2019	1.122
29-04-2019	1.119
26-04-2019	1.115
25-04-2019	1.113
24-04-2019	1.115
23-04-2019	1.123
22-04-2019	1.126
19-04-2019	1.125
18-04-2019	1.123
17-04-2019	1.130
16-04-2019	1.128
15-04-2019	1.131
12-04-2019	1.130
11-04-2019	1.125
10-04-2019	1.127
09-04-2019	1.126
08-04-2019	1.126
05-04-2019	1.122
04-04-2019	1.122
03-04-2019	1.124
02-04-2019	1.120
01-04-2019	1.121
29-03-2019	1.122
28-03-2019	1.122
27-03-2019	1.125
26-03-2019	1.127
25-03-2019	1.131
22-03-2019	1.131
21-03-2019	1.138
20-03-2019	1.141
19-03-2019	1.135
18-03-2019	1.134
15-03-2019	1.133
14-03-2019	1.130
13-03-2019	1.133
